Outlet_ID,Trade_Spend_Allocation_LKR
OUT_00521,112442.96387611252
OUT_00876,139228.04987450538
OUT_00877,98231.66179950038
OUT_01244,132645.1207483922
OUT_01660,135161.52663329156
OUT_01877,98117.25617374413
OUT_01878,77227.56428115594
OUT_01886,139039.09655648776
OUT_01932,112491.51210043726
OUT_01997,77136.23021840479
OUT_02135,104974.63058471386
OUT_02276,93302.69146682338
OUT_02351,139964.8492349511
OUT_02523,138412.9772326002
OUT_02667,137773.14898419977
OUT_03212,90245.60196440868
OUT_03370,118267.52999632337
OUT_03556,203977.11651439598
OUT_03705,107031.28716084531
OUT_03809,135988.82629766283
OUT_03891,141805.47328786587
OUT_03932,103485.75068456201
OUT_04708,123991.79682718606
OUT_04817,128959.37546220959
OUT_04846,94467.47873845992
OUT_05623,120474.37453164588
OUT_05736,131880.0862124295
OUT_06153,79073.68906834876
OUT_06433,104071.48588604528
OUT_06485,110238.38655092342
OUT_06602,139056.44107045006
OUT_06933,135919.48906390218
OUT_07151,105935.3749086174
OUT_07302,92566.31261437197
OUT_07440,136609.03400872537
OUT_07577,138791.29434157096
OUT_07600,107104.77456264019
OUT_08169,128147.7485513746
OUT_08605,112380.45663147289
OUT_08637,139492.91264283468
OUT_08677,123364.14133189776
OUT_08953,108732.98283150251
